Gene stable ID	Transcript stable ID	Transcription start site (TSS)	NCBI gene ID	RefSeq mRNA ID	Gene name	Chromosome/scaffold name	Strand
ENSG00000099290	ENST00000314664	50067888	387680	NM_001330102	WASHC2A	10	1
ENSG00000099290	ENST00000351071	50067888	387680	NM_001291398	WASHC2A	10	1
ENSG00000143119	ENST00000271324	110873154	963	NM_001320638	CD53	1	1
ENSG00000143119	ENST00000271324	110873154	963	NM_000560	CD53	1	1
ENSG00000143119	ENST00000271324	110873154	963	NM_001040033	CD53	1	1
ENSG00000116962	ENST00000264187	236065162	4811	NM_002508	NID1	1	-1
ENSG00000106780	ENST00000373930	120714470	1955	NM_001080497	MEGF9	9	-1
ENSG00000215397	ENST00000246104	676179	85508	NM_033129	SCRT2	20	-1
ENSG00000204149	ENST00000412531	49988644	414189	NM_001077665	AGAP6	10	1
ENSG00000160185	ENST00000291535	42403862	53347	NM_001001895	UBASH3A	21	1
ENSG00000160185	ENST00000319294	42403915	53347	NM_018961	UBASH3A	21	1
ENSG00000160185	ENST00000398367	42403917	53347	NM_001243467	UBASH3A	21	1
ENSG00000162076	ENST00000396958	2883186	114984	NM_138439	FLYWCH2	16	1
ENSG00000162076	ENST00000396958	2883186	114984	NM_001142500	FLYWCH2	16	1
ENSG00000162076	ENST00000293981	2883213	114984	NM_001142499	FLYWCH2	16	1
ENSG00000229833	ENST00000594797	7629737	100131801	NM_001171155	PET100	19	1
ENSG00000205209	ENST00000379204	34594585	284402	NM_001025591	SCGB2B2	19	-1
ENSG00000129951	ENST00000359894	821952	79948	NM_024888	PLPPR3	19	-1
ENSG00000129951	ENST00000520876	821977	79948	NM_001270366	PLPPR3	19	-1
ENSG00000197889	ENST00000407572	14959439	644890	NM_001080836	MEIG1	10	1
ENSG00000179044	ENST00000314586	67190204	283849	NM_178516	EXOC3L1	16	-1
ENSG00000187510	ENST00000638590	92736489	440107	NM_001004330	PLEKHG7	12	1
ENSG00000117335	ENST00000358170	207752057	4179	NM_002389	CD46	1	1
ENSG00000117335	ENST00000354848	207752057	4179	NM_153826	CD46	1	1
ENSG00000117335	ENST00000322918	207752057	4179	NM_172350	CD46	1	1
ENSG00000117335	ENST00000367042	207752057	4179	NM_172351	CD46	1	1
ENSG00000117335	ENST00000367041	207752057	4179	NM_172352	CD46	1	1
ENSG00000117335	ENST00000357714	207752057	4179	NM_172353	CD46	1	1
ENSG00000117335	ENST00000322875	207752057	4179	NM_172359	CD46	1	1
ENSG00000117335	ENST00000360212	207752115	4179	NM_172361	CD46	1	1
ENSG00000113318	ENST00000265081	80654648	4437	NM_002439	MSH3	5	1
ENSG00000116353	ENST00000373791	29230924	51102	NM_001024732	MECR	1	-1
ENSG00000116353	ENST00000263702	29230932	51102	NM_016011	MECR	1	-1
ENSG00000140459	ENST00000358632	74366206	1583	NM_001099773	CYP11A1	15	-1
ENSG00000140459	ENST00000268053	74367740	1583	NM_000781	CYP11A1	15	-1
ENSG00000183644	ENST00000375618	111514785	399949	NM_001100388	C11orf88	11	1
ENSG00000183644	ENST00000332814	111514785	399949	NM_207430	C11orf88	11	1
ENSG00000137707	ENST00000356018	111512354	54766	NM_017589	BTG4	11	-1
ENSG00000196814	ENST00000361171	126326849	89853	NM_033446	MVB12B	9	1
ENSG00000196814	ENST00000489637	126326862	89853	NM_001011703	MVB12B	9	1
ENSG00000257127	ENST00000378485	92423959	574028	NM_001025233	CLLU1	12	1
ENSG00000158258	ENST00000458420	139935185	64084	NM_022131	CLSTN2	3	1
ENSG00000124191	ENST00000341197	43914864	84969	NM_001098797	TOX2	20	1
ENSG00000124191	ENST00000423191	43916150	84969	NM_001098796	TOX2	20	1
ENSG00000124191	ENST00000372999	43916167	84969	NM_032883	TOX2	20	1
ENSG00000124191	ENST00000358131	43945705	84969	NM_001098798	TOX2	20	1
ENSG00000144744	ENST00000361055	69080408	9039	NM_003968	UBA3	3	-1
ENSG00000144744	ENST00000349511	69080408	9039	NM_198195	UBA3	3	-1
ENSG00000198846	ENST00000361421	59119208	9760	NM_014729	TOX	8	-1
ENSG00000053254	ENST00000345097	89619130	1112	NM_001085471	FOXN3	14	-1
ENSG00000053254	ENST00000557258	89417112	1112	NM_005197	FOXN3	14	-1
ENSG00000123643	ENST00000429484	151437086	206358	NM_001308151	SLC36A1	5	1
ENSG00000123643	ENST00000243389	151447596	206358	NM_078483	SLC36A1	5	1
ENSG00000123643	ENST00000616007	151447614	206358	NM_001308150	SLC36A1	5	1
ENSG00000021852	ENST00000371237	56966015	732	NM_000066	C8B	1	-1
ENSG00000021852	ENST00000535057	56966140	732	NM_001278544	C8B	1	-1
ENSG00000021852	ENST00000543257	56966140	732	NM_001278543	C8B	1	-1
ENSG00000187486	ENST00000339994	17388659	3767	NM_000525	KCNJ11	11	-1
ENSG00000187486	ENST00000528731	17389331	3767	NM_001166290	KCNJ11	11	-1
ENSG00000155087	ENST00000285402	102551572	4956	NM_024410	ODF1	8	1
ENSG00000100284	ENST00000449058	35299804	10043	NM_005488	TOM1	22	1
ENSG00000100284	ENST00000447733	35299275	10043	NM_001135729	TOM1	22	1
ENSG00000100284	ENST00000411850	35299804	10043	NM_001135732	TOM1	22	1
ENSG00000100284	ENST00000425375	35299804	10043	NM_001135730	TOM1	22	1
ENSG00000268916	ENST00000599845	152759218	389903	NM_001129826	CSAG3	X	1
ENSG00000268916	ENST00000638835	152759218	389903	NM_001129828	CSAG3	X	1
ENSG00000214827	ENST00000369476	155071226	4515	NM_001018025	MTCP1	X	-1
ENSG00000160803	ENST00000368309	156053794	56893	NM_001304342	UBQLN4	1	-1
ENSG00000160803	ENST00000368309	156053794	56893	NM_020131	UBQLN4	1	-1
ENSG00000186020	ENST00000334116	36573288	57711	NM_001321351	ZNF529	19	-1
ENSG00000186020	ENST00000591340	36573252	57711	NM_020951	ZNF529	19	-1
ENSG00000186020	ENST00000591340	36573252	57711	NM_001145649	ZNF529	19	-1
ENSG00000186020	ENST00000585960	36605257	57711	NM_001145650	ZNF529	19	-1
ENSG00000075914	ENST00000265564	44976230	23016	NM_015004	EXOSC7	3	1
ENSG00000258659	ENST00000514226	5619764	53840	NM_001003827	TRIM34	11	1
ENSG00000258659	ENST00000429814	5624983	53840	NM_021616	TRIM34	11	1
ENSG00000258659	ENST00000491385	5632281	53840	NM_130390	TRIM34	11	1
ENSG00000167083	ENST00000511277	49209400	2793	NM_001198756	GNGT2	17	-1
ENSG00000167083	ENST00000300406	49209385	2793	NM_031498	GNGT2	17	-1
ENSG00000167083	ENST00000300406	49209385	2793	NM_001198755	GNGT2	17	-1
ENSG00000167083	ENST00000507680	49210574	2793	NM_001198754	GNGT2	17	-1
ENSG00000162885	ENST00000366600	235504481	148789	NM_152490	B3GALNT2	1	-1
ENSG00000162885	ENST00000313984	235504422	148789	NM_001277155	B3GALNT2	1	-1
ENSG00000178243	ENST00000623103	135343249		NM_173520	C9orf62	9	1
ENSG00000250719	ENST00000506599	46176478	110117498	NM_001328655	AL672043.1	1	-1
ENSG00000160284	ENST00000330205	46184476	84221	NM_032261	SPATC1L	21	-1
ENSG00000160284	ENST00000291672	46184459	84221	NM_001142854	SPATC1L	21	-1
ENSG00000117461	ENST00000262741	46132642	8503	NM_003629	PIK3R3	1	-1
ENSG00000117461	ENST00000372006	46132794	8503	NM_001303428	PIK3R3	1	-1
ENSG00000117461	ENST00000372006	46132794	8503	NM_001328650	PIK3R3	1	-1
ENSG00000117461	ENST00000372006	46132794	8503	NM_001328648	PIK3R3	1	-1
ENSG00000117461	ENST00000372006	46132794	8503	NM_001328649	PIK3R3	1	-1
ENSG00000117461	ENST00000372006	46132794	8503	NM_001328651	PIK3R3	1	-1
ENSG00000117461	ENST00000423209	46132616	8503	NM_001303429	PIK3R3	1	-1
ENSG00000117461	ENST00000420542	46133036	8503	NM_001114172	PIK3R3	1	-1
ENSG00000104967	ENST00000263257	45973546	4858	NM_002516	NOVA2	19	-1
ENSG00000223609	ENST00000380299	5234648	3045	NM_000519	HBD	11	-1
ENSG00000099617	ENST00000215368	1286154	1943	NM_001405	EFNA2	19	1
ENSG00000235220	ENST00000428296	29720889	3134	NM_001098479	HLA-F	CHR_HSCHR6_MHC_DBB_CTG1	1
ENSG00000235220	ENST00000420067	29720945	3134	NM_001098478	HLA-F	CHR_HSCHR6_MHC_DBB_CTG1	1
ENSG00000235220	ENST00000551832	29720821	3134	NM_018950	HLA-F	CHR_HSCHR6_MHC_DBB_CTG1	1
ENSG00000274473	ENST00000622382	627401	6343	NM_021920	SCT	CHR_HSCHR11_1_CTG8	-1
ENSG00000175329	ENST00000404699	35066136	91464	NM_001303508	ISX	22	1
ENSG00000236237	ENST00000456113	31658730	4050	NM_002341	LTB	CHR_HSCHR6_MHC_MCF_CTG1	-1
ENSG00000236237	ENST00000456113	31658730	4050	NM_009588	LTB	CHR_HSCHR6_MHC_MCF_CTG1	-1
ENSG00000165868	ENST00000369209	116742574	259217	NM_025015	HSPA12A	10	-1
ENSG00000165868	ENST00000635765	116849741	259217	NM_001330164	HSPA12A	10	-1
ENSG00000152422	ENST00000338635	83077527	7518	NM_001318012	XRCC4	5	1
ENSG00000152422	ENST00000338635	83077527	7518	NM_001318013	XRCC4	5	1
ENSG00000152422	ENST00000338635	83077527	7518	NM_022406	XRCC4	5	1
ENSG00000152422	ENST00000282268	83077498	7518	NM_003401	XRCC4	5	1
ENSG00000152422	ENST00000282268	83077498	7518	NM_022550	XRCC4	5	1
ENSG00000259803	ENST00000614943	89200121	146429	NM_001242757	SLC22A31	16	-1
ENSG00000160325	ENST00000291722	133459967	11094	NM_001135775	CACFD1	9	1
ENSG00000160325	ENST00000316948	133459987	11094	NM_017586	CACFD1	9	1
ENSG00000160325	ENST00000542192	133459965	11094	NM_001242370	CACFD1	9	1
ENSG00000160325	ENST00000540581	133459965	11094	NM_001242369	CACFD1	9	1
ENSG00000215883	ENST00000421415	54200010	606495	NM_001353354	CYB5RL	1	-1
ENSG00000215883	ENST00000534324	54195616	606495	NM_001031672	CYB5RL	1	-1
ENSG00000135083	ENST00000393977	160312600	79616	NM_024565	CCNJL	5	-1
ENSG00000135083	ENST00000257536	160312600	79616	NM_001308173	CCNJL	5	-1
ENSG00000240871	ENST00000391417	41084150	100132476	NM_033061	KRTAP4-7	17	1
ENSG00000140691	ENST00000408912	31458080	79798	NM_001288767	ARMC5	16	1
ENSG00000140691	ENST00000457010	31458824	79798	NM_024742	ARMC5	16	1
ENSG00000140691	ENST00000563544	31458852	79798	NM_001301820	ARMC5	16	1
ENSG00000140691	ENST00000268314	31458996	79798	NM_001105247	ARMC5	16	1
ENSG00000250821	ENST00000504250	55820003	644145	NM_001351575	EXOC1L	4	1
ENSG00000171014	ENST00000307033	123939543	219875	NM_001001965	OR4D5	11	1
ENSG00000141298	ENST00000269033	29930152	85464	NM_033389	SSH2	17	-1
ENSG00000141298	ENST00000540801	29930093	85464	NM_001282129	SSH2	17	-1
ENSG00000141298	ENST00000579040	29930173	85464	NM_001282130	SSH2	17	-1
ENSG00000141298	ENST00000324677	29761390	85464	NM_001282131	SSH2	17	-1
ENSG00000143001	ENST00000371268	54980792	199964	NM_182532	TMEM61	1	1
ENSG00000255408	ENST00000522353	140801198	56145	NM_018906	PCDHA3	5	1
ENSG00000255408	ENST00000532566	140801028	56145	NM_031497	PCDHA3	5	1
ENSG00000160323	ENST00000356589	133422324	11093	NM_139026	ADAMTS13	9	1
ENSG00000160323	ENST00000355699	133422324	11093	NM_139027	ADAMTS13	9	1
ENSG00000160323	ENST00000371929	133422000	11093	NM_139025	ADAMTS13	9	1
ENSG00000198554	ENST00000420358	55027105	11169	NM_001008396	WDHD1	14	-1
ENSG00000198554	ENST00000360586	55027077	11169	NM_007086	WDHD1	14	-1
ENSG00000204444	ENST00000375920	31652417	55937	NM_001256169	APOM	6	1
ENSG00000204444	ENST00000375916	31655471	55937	NM_019101	APOM	6	1
ENSG00000254986	ENST00000530165	66480438	10072	NM_001256670	DPP3	11	1
ENSG00000254986	ENST00000541961	66480431	10072	NM_130443	DPP3	11	1
ENSG00000254986	ENST00000541961	66480431	10072	NM_005700	DPP3	11	1
ENSG00000189144	ENST00000357309	37779590	126231	NM_001172692	ZNF573	19	-1
ENSG00000189144	ENST00000357309	37779590	126231	NM_001172689	ZNF573	19	-1
ENSG00000189144	ENST00000339503	37758596	126231	NM_152360	ZNF573	19	-1
ENSG00000189144	ENST00000536220	37779590	126231	NM_001172691	ZNF573	19	-1
ENSG00000189144	ENST00000536220	37779590	126231	NM_001172690	ZNF573	19	-1
ENSG00000137818	ENST00000260379	69452784	6176	NM_001003	RPLP1	15	1
ENSG00000137818	ENST00000357790	69452814	6176	NM_213725	RPLP1	15	1
ENSG00000160447	ENST00000291906	128702523	29941	NM_001317926	PKN3	9	1
ENSG00000160447	ENST00000291906	128702523	29941	NM_013355	PKN3	9	1
ENSG00000158234	ENST00000338446	138608609	55179	NM_001033030	FAIM	3	1
ENSG00000158234	ENST00000360570	138608700	55179	NM_001033031	FAIM	3	1
ENSG00000158234	ENST00000393035	138608851	55179	NM_001033032	FAIM	3	1
ENSG00000158234	ENST00000393034	138609072	55179	NM_018147	FAIM	3	1
ENSG00000185666	ENST00000358763	33058372	8224	NM_001135774	SYN3	22	-1
ENSG00000185666	ENST00000358763	33058372	8224	NM_133633	SYN3	22	-1
ENSG00000185666	ENST00000358763	33058372	8224	NM_003490	SYN3	22	-1
ENSG00000087074	ENST00000200453	48872392	23645	NM_014330	PPP1R15A	19	1
ENSG00000100234	ENST00000266085	32801701	7078	NM_000362	TIMP3	22	1
ENSG00000189190	ENST00000338230	52786763	162966	NM_001321867	ZNF600	19	-1
ENSG00000189190	ENST00000338230	52786763	162966	NM_198457	ZNF600	19	-1
ENSG00000237693	ENST00000522154	150846523	345611	NM_001145805	IRGM	5	1
ENSG00000099821	ENST00000588649	633604	5442	NM_005035	POLRMT	19	-1
ENSG00000118496	ENST00000237281	145814753	84085	NM_032145	FBXO30	6	-1
ENSG00000185651	ENST00000342192	21567547	7332	NM_003347	UBE2L3	22	1
ENSG00000185651	ENST00000545681	21567547	7332	NM_001256356	UBE2L3	22	1
ENSG00000185651	ENST00000458578	21549447	7332	NM_001256355	UBE2L3	22	1
ENSG00000183246	ENST00000433039	21551461	150221	NM_001128633	RIMBP3C	22	-1
ENSG00000088367	ENST00000202028	36091504	2036	NM_001258331	EPB41L1	20	1
ENSG00000088367	ENST00000628415	36092712	2036	NM_001258330	EPB41L1	20	1
ENSG00000088367	ENST00000338074	36154750	2036	NM_012156	EPB41L1	20	1
ENSG00000088367	ENST00000441639	36092710	2036	NM_177996	EPB41L1	20	1
ENSG00000088367	ENST00000373946	36092710	2036	NM_001258329	EPB41L1	20	1
ENSG00000090581	ENST00000204679	1351923	84572	NM_032520	GNPTG	16	1
ENSG00000206480	ENST00000383562	30732250	10211	NM_001318875	FLOT1	CHR_HSCHR6_MHC_QBL_CTG1	-1
ENSG00000206480	ENST00000383562	30732250	10211	NM_005803	FLOT1	CHR_HSCHR6_MHC_QBL_CTG1	-1
ENSG00000070669	ENST00000394309	97872131	440	NM_133436	ASNS	7	-1
ENSG00000070669	ENST00000437628	97872113	440	NM_001178077	ASNS	7	-1
ENSG00000070669	ENST00000394308	97872471	440	NM_001673	ASNS	7	-1
ENSG00000070669	ENST00000455086	97872394	440	NM_001178076	ASNS	7	-1
ENSG00000070669	ENST00000444334	97872436	440	NM_001178075	ASNS	7	-1
ENSG00000070669	ENST00000175506	97872542	440	NM_183356	ASNS	7	-1
ENSG00000184677	ENST00000375647	22451867	9923	NM_014870	ZBTB40	1	1
ENSG00000184677	ENST00000404138	22451851	9923	NM_001083621	ZBTB40	1	1
ENSG00000184677	ENST00000374651	22451851	9923	NM_001330398	ZBTB40	1	1
ENSG00000278634	ENST00000612001	54503532	11027	NM_001290271	LILRA2	CHR_HSCHR19LRC_PGF1_CTG3_1	1
ENSG00000278634	ENST00000621721	54504273	11027	NM_006866	LILRA2	CHR_HSCHR19LRC_PGF1_CTG3_1	1
ENSG00000278634	ENST00000622640	54504357	11027	NM_001130917	LILRA2	CHR_HSCHR19LRC_PGF1_CTG3_1	1
ENSG00000278634	ENST00000628662	54504358	11027	NM_001290270	LILRA2	CHR_HSCHR19LRC_PGF1_CTG3_1	1
ENSG00000242019	ENST00000291860	54724479	115653	NM_153443	KIR3DL3	19	1
ENSG00000099822	ENST00000251287	589893	610	NM_001194	HCN2	19	1
ENSG00000111199	ENST00000261740	109833401	59341	NM_021625	TRPV4	12	-1
ENSG00000111199	ENST00000544971	109814796	59341	NM_001177433	TRPV4	12	-1
ENSG00000111199	ENST00000537083	109814796	59341	NM_147204	TRPV4	12	-1
ENSG00000111199	ENST00000541794	109814796	59341	NM_001177428	TRPV4	12	-1
ENSG00000111199	ENST00000536838	109814796	59341	NM_001177431	TRPV4	12	-1
ENSG00000196653	ENST00000296091	44712646	91392	NM_001282880	ZNF502	3	1
ENSG00000196653	ENST00000296091	44712646	91392	NM_033210	ZNF502	3	1
ENSG00000196653	ENST00000296091	44712646	91392	NM_001134440	ZNF502	3	1
ENSG00000196653	ENST00000449836	44712643	91392	NM_001134442	ZNF502	3	1
ENSG00000196653	ENST00000449836	44712643	91392	NM_001134441	ZNF502	3	1
ENSG00000105550	ENST00000593756	48755559	26291	NM_019113	FGF21	19	1
ENSG00000174951	ENST00000310160	48755390	2523	NM_000148	FUT1	19	-1
ENSG00000070778	ENST00000556564	88554733	11099	NM_007039	PTPN21	14	-1
ENSG00000081019	ENST00000261441	113812476	54665	NM_018364	RSBN1	1	-1
ENSG00000137700	ENST00000545985	119030906	2542	NM_001164277	SLC37A4	11	-1
ENSG00000137700	ENST00000357590	119030906	2542	NM_001164278	SLC37A4	11	-1
ENSG00000137700	ENST00000330775	119030906	2542	NM_001164280	SLC37A4	11	-1
ENSG00000137700	ENST00000330775	119030906	2542	NM_001467	SLC37A4	11	-1
ENSG00000137700	ENST00000538950	119030906	2542	NM_001164279	SLC37A4	11	-1
ENSG00000278220	ENST00000619400	1763324	2055	NM_018941	CLN8	CHR_HSCHR8_7_CTG1	1
ENSG00000148346	ENST00000277480	128149453		NM_005564	LCN2	9	1
ENSG00000138326	ENST00000372360	78033865	6229	NM_001026	RPS24	10	1
ENSG00000138326	ENST00000360830	78033883	6229	NM_001142282	RPS24	10	1
ENSG00000138326	ENST00000360830	78033883	6229	NM_033022	RPS24	10	1
ENSG00000138326	ENST00000440692	78033760	6229	NM_001142285	RPS24	10	1
ENSG00000138326	ENST00000435275	78033760	6229	NM_001142283	RPS24	10	1
ENSG00000138326	ENST00000435275	78033760	6229	NM_001142284	RPS24	10	1
ENSG00000074603	ENST00000341861	65517273	54878	NM_001320875	DPP8	15	-1
ENSG00000074603	ENST00000341861	65517273	54878	NM_197960	DPP8	15	-1
ENSG00000074603	ENST00000358939	65517680	54878	NM_017743	DPP8	15	-1
ENSG00000074603	ENST00000300141	65517699	54878	NM_130434	DPP8	15	-1
ENSG00000074603	ENST00000300141	65517699	54878	NM_001320876	DPP8	15	-1
ENSG00000074603	ENST00000321147	65517704	54878	NM_197961	DPP8	15	-1
ENSG00000273622	ENST00000611094	54403563	148170	NM_145057	CDC42EP5	CHR_HSCHR19LRC_PGF1_CTG3_1	-1
ENSG00000164430	ENST00000370315	73452276	115004	NM_138441	CGAS	6	-1
ENSG00000212916	ENST00000418460	232804892	54627	NM_019090	MAP10	1	1
ENSG00000073584	ENST00000348513	40648508	6605	NM_003079	SMARCE1	17	-1
ENSG00000221910	ENST00000408955	143935166	135948	NM_001004685	OR2F2	7	1
